2015-06-01 21:25:50 [pool-2-thread-27] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9713  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-36] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9703  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-53] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9702  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-23] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9714  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [Thread-112] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9713  - URLFetcher£ºstart to fetch this url : http://hr.tencent.com/position.php?keywords=&tid=87&start=190#a
2015-06-01 21:25:50 [pool-2-thread-12] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9725  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-59] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9727  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-9] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9879  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-72] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9904  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-9] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9912  - URLFetcher£ºthe url: http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getPostListByConditionBaidu?pc.currentPage=20&pc.rowSize=10&releaseTime=0&keyWord=&positionType=0%2F1227%2F10002&trademark=1&workPlaceCode=&positionName=&recruitType=2&brandCode=1&searchType=1&workPlaceNameV=&positionTypeV=0%2F1227%2F10002&keyWordV= is fetched done.
2015-06-01 21:25:50 [pool-1-thread-9] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9912  - the caculator is : 1
2015-06-01 21:25:50 [pool-1-thread-9] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9912  - the counter number is : 2
2015-06-01 21:25:50 [pool-2-thread-21] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9913  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-10] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9920  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-4] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9922  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-96] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9926  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-32] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9930  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-37] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9930  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
